district,fiscal_year,revenues,expenditures,net_change,beginning_balance,ending_balance,restated,cash,fb_nonspendable,fb_restricted,fb_committed,fb_assigned,fb_unassigned,fb_total,ok_rollforward,ok_fbsum
Johnston CSD,2021,90297900.0,85982677.0,3825016.0,12146145.0,15971161.0,,21000178.0,73369.0,2116132.0,,,13781660.0,15971161.0,Y,
Johnston CSD,2022,93296992.0,88285047.0,5409460.0,15971161.0,21380621.0,,28011701.0,110049.0,2487146.0,,,18556483.0,21380621.0,Y,
Johnston CSD,2023,91883625.0,92841732.0,-606947.0,21380621.0,20773674.0,Y,28018395.0,125954.0,2572699.0,2150000.0,,15556695.0,20773674.0,Y,
Linn-Mar CSD,2015,72396839.0,-624623.0,-616394.0,11022271.0,10405877.0,,17251621.0,,1793043.0,,521726.0,8091108.0,10405877.0,Y,
Linn-Mar CSD,2016,76506951.0,76800260.0,-279633.0,10405877.0,10126244.0,,17609829.0,,1363797.0,,445301.0,8317146.0,10126244.0,Y,
Linn-Mar CSD,2017,79880256.0,79660104.0,271119.0,10126244.0,10397363.0,,18000710.0,,1513994.0,,476285.0,8407084.0,10397363.0,Y,
Linn-Mar CSD,2018,83449756.0,83889227.0,-425707.0,10397363.0,9971656.0,,16477255.0,,1153042.0,,446136.0,8372478.0,9971656.0,Y,
Linn-Mar CSD,2019,86542567.0,86691529.0,-111520.0,9971656.0,9860136.0,,16170852.0,,1067117.0,,421121.0,8371898.0,9860136.0,Y,
Linn-Mar CSD,2020,88946908.0,87749848.0,1199206.0,9860136.0,11059342.0,,17985512.0,,1142203.0,,435330.0,9481809.0,11059342.0,Y,
Linn-Mar CSD,2021,96735391.0,93635341.0,2895814.0,11059342.0,13955156.0,,21131544.0,,734927.0,,424306.0,12795923.0,13955156.0,Y,
Linn-Mar CSD,2022,99507635.0,101160128.0,-1642068.0,13955156.0,12313088.0,,19351250.0,,431575.0,,464960.0,11416553.0,12313088.0,Y,
Linn-Mar CSD,2023,99802728.0,105031915.0,-5243539.0,12313088.0,7069549.0,,16030820.0,220881.0,446035.0,,535797.0,5866836.0,7069549.0,Y,
Pleasant Valley CSD,2015,42377726.0,41559208.0,821525.0,4581360.0,5402885.0,,10387174.0,67078.0,379954.0,,1854244.0,3101609.0,5402885.0,Y,
Pleasant Valley CSD,2016,45686148.0,45391591.0,325643.0,5402885.0,5728528.0,,10385973.0,130038.0,600523.0,,2040642.0,2957325.0,5728528.0,Y,
Pleasant Valley CSD,2017,48101388.0,47415560.0,710633.0,5728528.0,6439161.0,,12623412.0,107892.0,634569.0,,2146505.0,3550195.0,6439161.0,Y,
Pleasant Valley CSD,2018,50857643.0,50735977.0,149081.0,6439161.0,6588242.0,,13296596.0,142536.0,662376.0,,2313277.0,3470053.0,6588242.0,Y,
Pleasant Valley CSD,2019,52537944.0,52142031.0,465762.0,6588242.0,7054004.0,,13253353.0,143272.0,523933.0,,3148671.0,3238128.0,7054004.0,Y,
Pleasant Valley CSD,2020,54168959.0,53008239.0,1170170.0,7054004.0,8224174.0,,15171032.0,158217.0,623430.0,,3133352.0,4309175.0,8224174.0,Y,
Pleasant Valley CSD,2021,58976783.0,55962993.0,3113342.0,8224174.0,11337516.0,,17384913.0,358172.0,895985.0,,3162842.0,6920517.0,11337516.0,Y,
Pleasant Valley CSD,2022,62108088.0,61741879.0,605343.0,11337516.0,11942859.0,,17529533.0,518688.0,1105162.0,,3161450.0,7157559.0,11942859.0,Y,
Pleasant Valley CSD,2023,64926259.0,64759789.0,202001.0,11942859.0,12144860.0,,18846407.0,272311.0,1224131.0,,3277498.0,7370920.0,12144860.0,Y,
Waterloo CSD,2015,128145760.0,124662148.0,3453665.0,5087143.0,8540808.0,Y,20676541.0,216502.0,596754.0,,2854732.0,4774487.0,8540808.0,Y,
Waterloo CSD,2016,128802780.0,124746081.0,4056699.0,7413667.0,11470366.0,Y,23655591.0,214094.0,618739.0,,1230992.0,9406541.0,11470366.0,Y,
Waterloo CSD,2017,129465217.0,122046437.0,7423945.0,11470366.0,18894311.0,,31357211.0,202521.0,846668.0,,1230992.0,16613297.0,18894311.0,Y,
Waterloo CSD,2018,130901091.0,128146481.0,2716556.0,18894311.0,21610867.0,,35242413.0,209587.0,896351.0,,1230992.0,19273937.0,21610867.0,Y,
Waterloo CSD,2019,133393800.0,135476165.0,-1447839.0,21610867.0,20163028.0,,33813827.0,161726.0,912809.0,,1230992.0,17848501.0,20163028.0,Y,
Waterloo CSD,2020,136719805.0,138916971.0,-1638873.0,20163028.0,18524155.0,,35392827.0,180078.0,1931290.0,,1230992.0,15181795.0,18524155.0,Y,
Waterloo CSD,2021,152577513.0,142306382.0,10682762.0,18524155.0,29206917.0,,41919667.0,217561.0,793868.0,,1230992.0,26948864.0,29206917.0,Y,
Waterloo CSD,2022,158718768.0,152655437.0,6100594.0,29206917.0,35307511.0,,44030933.0,249723.0,1159194.0,,1230992.0,31809926.0,35307511.0,Y,
Waterloo CSD,2023,159792553.0,159641560.0,240388.0,35307511.0,35547899.0,,50068756.0,234571.0,1640929.0,,1230992.0,31718094.0,35547899.0,Y,
Waukee CSD,2015,80441008.0,79309123.0,893883.0,6908986.0,7802869.0,,15581912.0,56551.0,852797.0,,,6893521.0,7802869.0,Y,
Waukee CSD,2016,88418065.0,88148318.0,24577.0,7802869.0,7827446.0,,17428980.0,44468.0,1118032.0,,,6664946.0,7827446.0,Y,
Waukee CSD,2017,98885785.0,94978270.0,3680553.0,7827446.0,11507999.0,,21543950.0,27453.0,1737788.0,,,9742758.0,11507999.0,Y,
Waukee CSD,2018,107573720.0,103337224.0,4102902.0,11507999.0,15610901.0,,27486756.0,,1227334.0,,,14383567.0,15610901.0,Y,
