district,fiscal_year,data_basis,peer_group,days_net_cash,moodys_net_cash_ratio,current_ratio,receivables_inventory_ratio,creditor_equity_ratio,solvency_ratio,moodys_avail_fb_ratio,sp_available_reserves_pct,unrestricted_np_pp,uab_pct_of_max,ubr_unrestricted_pct,operating_margin,sp_oper_result_3yr,employee_cost_ratio,foundation_aid_ratio,transportation_ratio,investment_income_ratio,gf_per_pupil,local_share_pct,moodys_ltl_ratio,moodys_fixed_costs_ratio,sp_current_cost_pct,net_direct_debt_pp,npl_pp,debt_per_pupil,enrollment_cagr_3yr,valuation_per_pupil,grand_total_levy_rate,certified_enrollment,opinion_type,findings_count,repeat_finding,report_lag_months,gfoa_award,confidence,sources
Davenport CSD,2017,audited,Mid (7-14k),80.4,23.0,114.7,59.82,0.0,,7.2,7.2,,,,-4.41,-2.14,,61.1,3.39,0.233,,33.9,61.2,6.4,7.0,,,,,,,,unmodified,6,Y,5,Y,High,
Davenport CSD,2018,audited,Mid (7-14k),82.6,22.7,117.4,59.14,0.0,,6.1,6.1,,,,-0.49,-2.15,,59.7,3.45,0.483,,35.8,62.4,6.2,6.9,,,,,,,,unmodified,6,Y,6,Y,High,
Davenport CSD,2019,audited,Mid (7-14k),85.7,23.4,118.3,58.37,0.0,,6.3,6.3,,,,0.34,-1.52,,59.4,3.67,0.788,,35.5,61.5,6.6,7.4,,,,,,,,unmodified,2,Y,6,Y,High,
Davenport CSD,2020,audited,Mid (7-14k),104.1,27.3,366.7,54.5,50.63,,10.4,10.4,-3846,1.08,,4.28,1.38,,59.0,2.83,0.0,12648,34.7,58.5,,,551,6296,551,,304473,15.27,14470.0,unmodified,6,Y,,Y,audited,
Davenport CSD,2021,audited,Mid (7-14k),94.0,25.3,131.3,58.77,0.0,,11.5,11.5,-3780,4.0,,1.66,2.09,,57.3,3.25,0.15,13282,34.3,61.1,,,400,7114,400,,318035,15.3,14412.0,unmodified,8,Y,,Y,audited,
Davenport CSD,2022,audited,Mid (7-14k),101.5,26.9,136.9,58.39,0.0,,15.8,15.8,-1827,7.73,,3.3,3.08,,54.0,3.95,0.155,13808,33.2,7.6,,,247,140,247,,329687,15.3,14166.0,unmodified,7,Y,,Y,audited,
Davenport CSD,2023,audited,Mid (7-14k),118.2,29.6,155.8,53.85,0.0,,21.0,21.0,290,11.83,,8.55,4.5,,51.1,3.83,2.053,14630,33.2,28.2,,,105,3817,105,-1.6,349534,15.6,13786.0,unmodified,3,Y,,Y,audited,
Davenport CSD,2024,audited,Mid (7-14k),122.2,30.9,164.7,50.31,0.0,,22.3,22.3,1466,14.93,,7.81,6.55,,,,2.854,15771,,61.0,,,5606,4197,5606,-1.98,353109,15.0,13574.0,unmodified,2,Y,,Y,audited,
Davenport CSD,2025,audited,Mid (7-14k),144.2,40.5,158.7,42.28,0.0,,23.4,23.4,-697,18.59,,-2.49,4.62,,,,3.927,15103,,64.9,,,5542,3338,5542,-1.91,371899,13.71,13370.0,unmodified,0,Y,,Y,audited,
Des Moines Independent CSD,2015,audited,Large (>14k),98.2,27.1,147.2,7.5,0.0,12.69,15.2,15.2,-2273,,,-0.59,,,48.9,,0.093,12313,,83.2,8.6,9.8,5746,3735,5746,,,,32396.1,unmodified,2,,4,Y,High,
Des Moines Independent CSD,2016,audited,Large (>14k),97.2,26.2,148.8,7.23,0.0,11.86,14.2,14.2,-2387,,,1.6,,,46.6,,0.275,12661,,85.1,8.7,9.8,5395,4714,5395,,,,32581.9,unmodified,,,5,Y,High,
Des Moines Independent CSD,2017,audited,Large (>14k),94.3,25.8,147.5,7.83,0.0,11.51,13.8,13.8,-3712,,,0.3,0.44,,46.2,2.6,0.261,13042,32.5,99.0,8.5,9.7,4928,6070,4928,,,,32979.2,unmodified,,,4,Y,High,
Des Moines Independent CSD,2018,audited,Large (>14k),88.5,24.2,147.2,9.31,0.0,12.4,14.6,14.6,-4330,,,0.1,0.67,,46.2,2.59,0.4,13381,32.0,109.9,8.4,9.8,6234,6391,6234,0.68,,,33057.4,unmodified,4,Y,4,Y,High,
Des Moines Independent CSD,2019,audited,Large (>14k),91.9,24.6,153.5,11.74,0.0,15.04,17.1,17.1,-4140,,,2.29,0.9,,45.3,,0.777,13424,,98.3,8.8,10.5,5816,6305,5816,0.21,,,32788.8,unmodified,,N,4,Y,High,
Des Moines Independent CSD,2020,audited,Large (>14k),128.4,33.1,169.9,49.59,0.0,21.06,22.9,22.9,-3720,5.21,,5.99,2.79,,,,0.797,13297,,91.0,,,5367,6014,5367,-0.44,230886,18.61,32545.0,unmodified,2,Y,7,Y,audited,
Des Moines Independent CSD,2021,audited,Large (>14k),128.4,31.2,214.5,53.99,0.0,31.32,32.6,32.6,-2382,13.78,,11.4,6.56,,,,-0.15,14238,,80.4,,,4997,6597,4997,-1.47,256173,18.61,31622.0,unmodified,2,Y,6,Y,audited,
Des Moines Independent CSD,2022,audited,Large (>14k),150.6,41.8,207.6,44.57,0.0,35.3,36.6,36.6,-1232,14.95,,-1.41,5.33,,,,-0.149,15016,,48.6,,,4467,1407,4467,-1.83,267452,16.06,31024.0,unmodified,2,Y,5,Y,audited,
Des Moines Independent CSD,2023,audited,Large (>14k),147.4,40.2,207.9,44.54,0.0,34.5,35.8,35.8,-679,17.73,,0.42,3.47,,,,2.946,15813,,62.9,,,3857,4832,3857,-1.85,280134,15.34,30774.0,unmodified,4,Y,9,Y,audited,
Des Moines Independent CSD,2024,audited,Large (>14k),147.4,41.5,202.8,42.61,0.0,33.91,35.2,35.2,-768,21.02,,-2.74,-1.24,,,,2.388,15951,,64.8,,,3245,5400,3245,-0.87,276765,15.15,30802.0,unmodified,1,N,7,Y,audited,
Des Moines Independent CSD,2025,audited,Large (>14k),115.0,34.7,176.4,46.41,0.0,25.21,27.0,27.0,-2258,18.14,,-9.99,-4.1,,,,3.204,16771,,52.3,,,2672,4003,2672,-0.2,286624,14.67,30836.0,unmodified,3,N,9,Y,audited,
Dubuque CSD,2015,audited,Mid (7-14k),68.3,19.9,126.7,65.91,0.0,,10.8,10.8,-3976,,,-6.45,,,60.1,,,11860,,81.8,9.0,7.8,4501,3877,4501,,,,10633.7,unmodified,2,N,6,N,High,
Dubuque CSD,2016,audited,Mid (7-14k),68.0,19.0,120.6,67.76,0.0,,8.9,8.9,-4638,,,-1.9,,,58.4,,,11916,,87.5,8.7,8.0,4389,5009,4389,,,,10587.9,unmodified,1,Y,6,N,High,
Dubuque CSD,2017,audited,Mid (7-14k),79.0,21.0,126.9,64.37,0.0,,11.5,11.5,-4088,,,2.82,-1.84,,57.1,3.08,0.118,11945,39.4,99.9,8.2,8.2,5164,6199,5164,,,,10555.8,unmodified,1,Y,6,N,High,
Dubuque CSD,2018,audited,Mid (7-14k),83.3,22.6,128.6,63.43,0.0,,12.7,12.7,-3955,,,1.07,0.66,,57.1,3.13,0.276,12316,39.0,107.1,9.1,8.8,5952,6433,5952,-0.4,,,10506.8,unmodified,1,N,6,N,High,
Dubuque CSD,2019,audited,Mid (7-14k),82.2,22.5,128.4,63.97,0.0,,12.9,12.9,-4741,,,-0.05,1.28,,55.9,2.96,0.497,12603,40.2,109.4,9.9,10.0,6607,6219,6607,-0.5,,,10429.8,unmodified,0,N,6,N,High,
Dubuque CSD,2020,audited,Mid (7-14k),87.0,23.9,127.0,62.96,0.0,13.02,12.5,12.5,-4914,7.31,,-0.36,0.22,85.5,54.8,2.86,0.308,12647,40.1,101.9,,,6020,5674,6020,-0.21,346979,14.71,10489.0,unmodified,0,Y,6,N,audited,
Dubuque CSD,2021,audited,Mid (7-14k),82.5,21.5,138.2,65.46,0.0,16.52,15.9,15.9,-4179,9.17,,4.99,1.53,84.3,51.9,2.62,0.054,13369,37.4,98.5,,,5566,6997,5566,-0.63,361456,14.66,10309.9,unmodified,0,Y,6,N,audited,
Dubuque CSD,2022,audited,Mid (7-14k),99.4,26.4,147.6,58.06,0.0,19.51,18.8,18.8,-3030,9.94,,3.13,2.59,83.2,50.6,2.88,0.071,14282,36.1,63.4,,,8136,135,8136,-1.0,379394,14.56,10120.3,unmodified,0,Y,6,N,audited,
Dubuque CSD,2023,audited,Mid (7-14k),95.9,26.9,147.5,56.26,0.0,19.03,18.3,18.3,-2443,9.54,,-2.27,1.95,84.0,55.8,3.04,0.801,14167,37.2,91.6,,,7688,3938,7688,-1.37,392423,13.91,10063.1,unmodified,0,Y,6,N,audited,
Dubuque CSD,2024,audited,Mid (7-14k),90.1,25.5,138.4,58.49,0.0,16.21,15.6,15.6,-2336,9.57,,-3.37,-0.84,85.0,,,,14167,,92.8,,,7213,4476,7213,-1.03,389397,14.51,9996.0,unmodified,0,Y,6,N,audited,
Dubuque CSD,2025,audited,Mid (7-14k),92.5,25.5,133.5,60.03,0.0,15.37,14.9,14.9,-2198,11.08,,-0.62,-2.09,85.3,,,,14525,,88.7,,,8276,3488,8276,-0.86,419051,13.0,9862.9,unmodified,0,Y,7,N,audited,
Johnston CSD,2015,audited,Small-mid (3-7k),72.6,19.3,120.9,68.18,0.0,8.93,8.6,8.6,-2675,,,3.09,,,,,,10337,,147.1,13.9,29.9,11542,3928,11542,,,,6616.0,unmodified,3,N,5,Y,High,
Johnston CSD,2016,audited,Small-mid (3-7k),94.5,24.5,132.8,61.33,0.0,14.01,13.5,13.5,-1747,,,5.46,,,,,,10461,,191.5,13.1,40.5,16247,4694,16247,,,,6756.1,unmodified,2,Y,5,Y,High,
Johnston CSD,2017,audited,Small-mid (3-7k),101.9,26.9,141.2,59.0,0.0,17.65,17.0,17.0,-1321,,,3.68,4.08,,53.7,4.65,0.149,10770,42.8,199.6,16.0,20.4,16239,5819,16239,,,,6894.2,unmodified,1,Y,5,Y,High,
Johnston CSD,2018,audited,Small-mid (3-7k),105.0,28.4,144.8,55.93,0.0,18.49,17.8,17.8,-1310,,,1.13,3.42,,53.7,4.71,0.342,11117,42.2,192.6,15.9,23.9,15481,5776,15481,2.26,,,7074.1,unmodified,2,Y,4,Y,High,
Johnston CSD,2019,audited,Small-mid (3-7k),95.4,26.7,138.6,57.74,0.0,16.24,15.6,15.6,-1593,,,-2.22,0.86,,54.5,4.75,0.535,11774,41.0,185.9,15.9,23.8,15232,5715,15232,1.47,,,7057.6,unmodified,3,Y,4,Y,High,
Johnston CSD,2020,audited,Small-mid (3-7k),81.1,22.8,130.2,63.98,0.0,13.25,12.7,12.7,-2201,14.46,,-2.87,-1.32,,55.0,4.69,0.663,11954,41.2,169.9,,,13778,5337,13778,1.01,313822,18.35,7105.7,unmodified,2,N,,Y,audited,
Johnston CSD,2021,audited,Small-mid (3-7k),89.1,23.3,136.4,64.9,0.0,15.84,15.3,15.3,-1965,17.34,,4.78,-0.1,,51.9,3.92,0.207,12276,41.8,153.7,,,12665,6430,12665,-0.33,344020,17.75,7004.2,unmodified,2,Y,5,Y,audited,
Johnston CSD,2022,audited,Small-mid (3-7k),115.8,30.0,151.5,55.09,0.0,20.63,19.9,19.9,152,19.75,,5.37,2.43,,50.9,4.21,0.042,12636,43.8,64.3,,,7937,126,7937,-0.34,359891,17.76,6986.9,unmodified,1,N,7,Y,audited,
Johnston CSD,2023,audited,Small-mid (3-7k),110.2,30.5,153.3,52.47,0.0,17.59,19.3,19.3,927,20.33,,-1.04,3.04,,54.5,5.32,0.859,13292,41.7,66.8,,,4690,3507,4690,-0.57,367650,17.75,6984.8,unmodified,3,Y,9,Y,audited,
Johnston CSD,2024,audited,Small-mid (3-7k),89.4,25.7,138.0,60.55,0.0,13.34,15.1,15.1,805,21.56,,-4.92,-0.2,,,,1.058,13880,,69.3,,,4493,3967,4493,-0.09,378368,13.01,6984.8,unmodified,3,N,6,N,audited,
Johnston CSD,2025,audited,Small-mid (3-7k),65.3,18.9,123.9,69.76,0.0,7.66,9.4,9.4,-81,20.66,,-5.38,-3.78,,,,1.014,15163,,55.6,,,3971,3295,3971,-0.71,412038,13.89,6838.4,unmodified,3,Y,9,N,audited,
Linn-Mar CSD,2015,audited,Small-mid (3-7k),86.2,23.8,132.4,59.45,0.0,12.4,11.9,11.9,-3334,,,-0.86,,,58.8,,,10220,,155.9,14.8,18.8,11914,3725,11914,,,,7145.0,unmodified,5,No,6,N,High,
Linn-Mar CSD,2016,audited,Small-mid (3-7k),83.7,23.0,130.4,59.42,0.0,11.93,11.5,11.5,-3120,,,-0.38,,,58.9,,,10670,,176.7,14.3,17.5,13802,4796,13802,,,,7198.0,unmodified,3,No,5,N,High,
Linn-Mar CSD,2017,audited,Small-mid (3-7k),82.5,22.5,129.4,60.62,0.0,11.57,11.1,11.1,-3449,,,0.28,-0.32,,58.0,2.81,0.051,10893,39.8,169.9,15.3,39.9,12252,6105,12252,,,,7313.0,unmodified,2,No,5,N,High,
Linn-Mar CSD,2018,audited,Small-mid (3-7k),71.7,19.7,126.5,73.81,0.0,10.99,10.6,10.6,-3777,,,-0.53,-0.21,,56.8,2.88,0.124,11281,40.7,158.7,14.1,18.3,11086,6371,11086,1.34,,,7436.0,unmodified,3,No,5,N,High,
Linn-Mar CSD,2019,audited,Small-mid (3-7k),68.1,18.7,125.2,66.94,0.0,10.57,10.2,10.2,-4064,,,-0.17,-0.14,,56.4,2.8,0.208,11473,41.2,155.3,13.5,17.9,11288,6099,11288,1.63,,,7556.0,unmodified,2,Yes,5,N,High,
Linn-Mar CSD,2020,audited,Small-mid (3-7k),74.8,20.2,,66.0,58.89,11.6,11.1,11.1,-4220,13.79,,1.35,0.22,,55.8,2.68,0.0,11432,41.2,196.5,,,16566,5791,16566,1.63,283143,18.02,7676.0,unmodified,4,Y,5,N,audited,
Linn-Mar CSD,2021,audited,Small-mid (3-7k),82.4,21.8,,62.87,55.91,14.2,13.7,13.7,-4157,15.6,,3.2,1.46,,53.8,2.53,0.0,12324,40.6,181.9,,,15786,6908,15786,0.72,300349,18.01,7598.0,unmodified,3,Y,5,N,audited,
Linn-Mar CSD,2022,audited,Small-mid (3-7k),69.8,19.4,,64.42,56.69,12.4,11.9,11.9,-3157,13.04,,-1.66,0.96,,53.2,2.78,0.0,13347,40.8,112.6,,,14085,141,14085,0.1,311274,17.87,7579.0,unmodified,4,Y,6,N,audited,
Linn-Mar CSD,2023,audited,Small-mid (3-7k),55.7,16.1,114.3,71.19,0.0,6.67,6.4,6.4,-2999,9.93,,-5.24,-1.23,,56.1,3.19,0.328,13667,38.8,150.6,,,14954,4009,14954,0.04,317057,17.36,7685.0,unmodified,3,Y,6,N,audited,
Linn-Mar CSD,2024,audited,Small-mid (3-7k),62.0,17.0,113.9,69.26,0.0,6.34,6.1,6.1,-2777,9.64,,-0.03,-2.31,,,,,13843,,155.9,,,16244,4661,16244,-0.14,331730,17.89,7566.0,unmodified,2,Y,6,N,audited,
Linn-Mar CSD,2025,audited,Small-mid (3-7k),77.7,20.7,119.2,65.23,0.0,9.51,9.2,9.2,-3968,10.27,,2.91,-0.79,,,,,13818,,146.4,,,16594,3605,16594,-0.38,353718,17.99,7494.0,unmodified,3,Y,5,N,audited,
Pleasant Valley CSD,2015,audited,Small-mid (3-7k),91.2,24.5,126.2,59.87,0.0,12.2,11.7,11.7,-2521,,,1.93,,,54.1,,,9475,,36.3,5.4,10.1,0,3239,0,,,,4386.1,unmodified,1,N,9,N,High,
Pleasant Valley CSD,2016,audited,Small-mid (3-7k),83.5,22.7,126.7,61.37,0.0,11.4,10.9,10.9,-2150,,,0.64,,,55.8,,,10016,,63.7,5.3,5.5,2207,3911,2207,,,,4531.8,unmodified,0,N,6,Y,High,
Pleasant Valley CSD,2017,audited,Small-mid (3-7k),97.2,26.2,127.3,57.55,0.0,12.33,11.8,11.8,-2001,,,1.43,1.33,,56.0,3.41,0.111,9992,42.7,89.5,6.9,9.6,3879,4862,3879,,,,4745.5,unmodified,1,N,6,Y,High,
Pleasant Valley CSD,2018,audited,Small-mid (3-7k),95.7,26.1,126.4,57.4,0.0,11.85,11.4,11.4,-2268,,,0.24,0.77,,56.5,3.43,0.185,10307,42.2,103.9,8.0,12.1,5265,5040,5265,3.92,,,4922.4,unmodified,1,Y,6,Y,High,
Pleasant Valley CSD,2019,audited,Small-mid (3-7k),92.8,25.2,127.7,58.75,0.0,12.68,12.2,12.2,-2453,,,0.75,0.81,,56.6,3.44,0.289,10352,42.0,155.2,9.3,14.1,10836,4881,10836,3.58,,,5036.7,unmodified,0,N,6,Y,High,
Pleasant Valley CSD,2020,audited,Small-mid (3-7k),104.5,28.0,130.9,55.97,0.0,14.34,13.7,13.7,-2553,17.63,,2.14,1.04,,56.8,3.29,0.205,10336,41.3,142.0,,,9641,4487,9641,2.62,326055,13.41,5128.4,unmodified,1,N,5,Y,audited,
Pleasant Valley CSD,2021,audited,Small-mid (3-7k),113.4,29.5,140.3,55.01,0.0,17.81,17.1,17.1,-2311,20.08,,5.11,2.67,,55.7,3.13,0.076,10671,40.7,130.4,,,8423,5267,8423,2.13,326902,13.78,5244.2,unmodified,0,N,5,Y,audited,
Pleasant Valley CSD,2022,audited,Small-mid (3-7k),103.6,28.2,142.5,54.9,0.0,17.31,16.6,16.6,-1372,19.44,,0.59,2.61,,54.9,3.3,0.106,11384,41.2,70.9,,,7191,96,7191,2.5,336852,13.76,5423.6,unmodified,1,N,5,Y,audited,
Pleasant Valley CSD,2023,audited,Small-mid (3-7k),106.2,29.0,140.8,54.4,0.0,17.1,16.4,16.4,-769,20.05,,0.26,1.99,,57.3,3.57,0.821,11654,39.4,84.6,,,6035,2953,6035,2.71,345237,13.46,5556.8,unmodified,2,Y,6,Y,audited,
Pleasant Valley CSD,2024,audited,Small-mid (3-7k),118.2,31.1,149.2,51.99,0.0,20.31,19.5,19.5,-969,21.88,,3.92,1.59,,,,,12049,,115.3,,,9990,3498,9990,1.83,363844,13.46,5538.0,unmodified,2,Y,5,Y,audited,
Pleasant Valley CSD,2025,audited,Small-mid (3-7k),124.4,33.2,156.7,48.18,0.0,22.45,21.8,21.8,-813,22.83,,2.46,2.21,,,,,12718,,98.8,,,8989,2866,8989,0.46,381681,13.46,5498.0,unmodified,1,Y,4,Y,audited,
Waterloo CSD,2015,audited,Mid (7-14k),60.5,16.1,116.4,65.67,0.0,6.2,6.0,6.0,,,,2.72,,,62.6,,,,,98.2,10.2,9.7,,,,,,,,unmodified,1,N,6,N,High,
Waterloo CSD,2016,audited,Mid (7-14k),69.2,18.4,121.7,63.26,0.0,8.61,8.3,8.3,,,,3.15,,,63.7,,,,,103.8,10.2,9.8,,,,,,,,unmodified,5,N,5,N,High,
Waterloo CSD,2017,audited,Mid (7-14k),93.8,24.2,136.1,55.95,0.0,14.35,13.8,13.8,,,,5.73,3.87,,63.7,3.89,0.126,,30.6,108.1,9.8,11.2,,,,,,,,unmodified,4,Y,8,N,High,
Waterloo CSD,2018,audited,Mid (7-14k),100.4,26.9,141.4,52.25,0.0,16.32,15.7,15.7,-3621,,,2.1,3.66,,63.6,3.96,0.331,11779,30.1,118.7,9.2,11.3,7339,6080,7339,,,,10879.0,unmodified,,,5,Y,High,
Waterloo CSD,2019,audited,Mid (7-14k),91.1,25.3,136.3,55.32,0.0,14.9,14.3,14.3,-3887,,,-1.56,2.09,,64.2,3.84,0.541,12571,29.5,112.4,9.8,10.2,7051,5876,7051,,,,10777.0,unmodified,,,5,Y,High,
Waterloo CSD,2020,audited,Mid (7-14k),93.0,25.9,132.7,52.91,0.0,12.51,12.0,12.0,-4480,12.91,,-1.61,-0.36,,62.1,3.44,0.394,12786,28.7,103.3,,,6539,5420,6539,,246744,14.21,10865.0,unmodified,,,5,Y,audited,
Waterloo CSD,2021,audited,Mid (7-14k),107.5,27.5,153.4,49.99,0.0,19.18,18.5,18.5,-3805,18.03,,6.73,1.19,,58.4,3.05,0.144,13383,25.3,112.2,,,8323,6630,8323,-0.76,250569,14.21,10633.0,unmodified,2,N,5,Y,audited,
Waterloo CSD,2022,audited,Mid (7-14k),105.3,27.7,166.0,49.34,0.0,21.59,20.8,20.8,-2096,19.6,,3.82,2.98,,56.4,3.69,0.183,14292,24.2,60.3,,,7716,131,7716,-0.3,252733,13.85,10681.0,unmodified,1,Y,5,Y,audited,
Waterloo CSD,2023,audited,Mid (7-14k),114.5,31.3,164.1,44.18,0.0,21.39,20.6,20.6,-1399,19.7,,0.09,3.55,,59.0,2.66,1.114,14959,22.7,80.6,,,7159,3702,7159,-0.6,257943,13.36,10672.0,unmodified,3,N,5,Y,audited,
