district_code,district_name,fiscal_year,transfers_in
1701,Denison,2021,0.0
1701,Denison,2022,0.0
1701,Denison,2023,0.0
1701,Denison,2024,0
1719,Denver,2017,0.0
1719,Denver,2018,0.0
1719,Denver,2019,0.0
1719,Denver,2020,0.0
1719,Denver,2021,0.0
1719,Denver,2022,0.0
1719,Denver,2023,0.0
1719,Denver,2024,0
1737,Des Moines,2017,29430.0
1737,Des Moines,2018,20000.0
1737,Des Moines,2019,0.0
1737,Des Moines,2020,0.0
1737,Des Moines,2021,0.0
1737,Des Moines,2022,0.0
1737,Des Moines,2023,0.0
1737,Des Moines,2024,27395.09
1782,Diagonal,2017,0.0
1782,Diagonal,2018,0.0
1782,Diagonal,2019,0.0
1782,Diagonal,2020,0.0
1782,Diagonal,2021,0.0
1782,Diagonal,2022,4935.92
1782,Diagonal,2023,0.0
1782,Diagonal,2024,0
1791,Dike-New Hartford,2017,0.0
1791,Dike-New Hartford,2018,0.0
1791,Dike-New Hartford,2019,16517.56
1791,Dike-New Hartford,2020,0.0
1791,Dike-New Hartford,2021,0.0
1791,Dike-New Hartford,2022,31000.0
1791,Dike-New Hartford,2023,0.0
1791,Dike-New Hartford,2024,0
1863,Dubuque,2017,0.0
1863,Dubuque,2018,51285.0
1863,Dubuque,2019,80694.64
1863,Dubuque,2020,40262.08
1863,Dubuque,2021,57944.3
1863,Dubuque,2022,31281.98
1863,Dubuque,2023,53149.4
1863,Dubuque,2024,43380.86
1908,Dunkerton,2017,0.0
1908,Dunkerton,2018,0.0
1908,Dunkerton,2019,0.0
1908,Dunkerton,2020,0.0
1908,Dunkerton,2021,0.0
1908,Dunkerton,2022,0.0
1908,Dunkerton,2023,0.0
1908,Dunkerton,2024,0
1917,Boyer Valley,2017,0.0
1917,Boyer Valley,2018,0.0
1917,Boyer Valley,2019,0.0
1917,Boyer Valley,2020,0.0
1917,Boyer Valley,2021,0.0
1917,Boyer Valley,2022,0.0
1917,Boyer Valley,2023,11246.76
1917,Boyer Valley,2024,6141.16
1926,Durant,2017,0.0
1926,Durant,2018,0.0
1926,Durant,2019,0.0
1926,Durant,2020,0.0
1926,Durant,2021,16222.15
1926,Durant,2022,10442.95
1926,Durant,2023,0.0
1926,Durant,2024,0
1935,Union,2017,0.0
1935,Union,2018,0.0
1935,Union,2019,0.0
1935,Union,2020,0.0
1935,Union,2021,0.0
1935,Union,2022,0.0
1935,Union,2023,7927.91
1944,Eagle Grove,2017,0.0
1944,Eagle Grove,2018,0.0
1944,Eagle Grove,2019,9243.0
1944,Eagle Grove,2020,3580.0
1944,Eagle Grove,2021,0.0
1944,Eagle Grove,2022,26178.0
1944,Eagle Grove,2023,14485.79
1944,Eagle Grove,2024,5842.24
1953,Earlham,2017,3712.0
1953,Earlham,2018,8536.0
1953,Earlham,2019,6046.66
1953,Earlham,2020,5167.51
1953,Earlham,2021,4404.17
1953,Earlham,2022,3293.86
1953,Earlham,2023,15519.44
1953,Earlham,2024,15275.16
1963,East Buchanan,2017,364.0
1963,East Buchanan,2018,0.0
1963,East Buchanan,2019,2126.31
1963,East Buchanan,2020,2099.85
1963,East Buchanan,2021,10832.66
1963,East Buchanan,2022,6730.36
1963,East Buchanan,2023,6791.26
1963,East Buchanan,2024,7168.3
1965,Easton Valley,2017,0.0
1965,Easton Valley,2018,0.0
1965,Easton Valley,2019,0.0
1965,Easton Valley,2020,0.0
1965,Easton Valley,2021,0.0
1965,Easton Valley,2022,0.0
1965,Easton Valley,2023,0.0
1965,Easton Valley,2024,0
1968,,2024,0
1970,East Union,2017,0.0
1970,East Union,2018,0.0
1970,East Union,2019,0.0
1970,East Union,2020,0.0
1970,East Union,2021,0.0
1970,East Union,2022,17293.41
1970,East Union,2023,4535.24
1970,East Union,2024,7978.34
1972,Eastern Allamakee,2017,0.0
1972,Eastern Allamakee,2018,0.0
1972,Eastern Allamakee,2019,0.0
1972,Eastern Allamakee,2020,0.0
1972,Eastern Allamakee,2021,8431.2
1972,Eastern Allamakee,2022,0.0
1972,Eastern Allamakee,2023,0.0
1972,Eastern Allamakee,2024,0
1975,River Valley,2017,0.0
1975,River Valley,2018,0.0
1975,River Valley,2019,0.0
1975,River Valley,2020,0.0
1975,River Valley,2021,0.0
1975,River Valley,2022,0.0
1975,River Valley,2023,0.0
1975,River Valley,2024,0
1989,Edgewood-Colesburg,2017,0.0
1989,Edgewood-Colesburg,2018,0.0
1989,Edgewood-Colesburg,2019,0.0
1989,Edgewood-Colesburg,2020,0.0
1989,Edgewood-Colesburg,2021,0.0
1989,Edgewood-Colesburg,2022,26464.42
1989,Edgewood-Colesburg,2023,0.0
1989,Edgewood-Colesburg,2024,0
2007,Eldora-New Providence,2017,0.0
2007,Eldora-New Providence,2018,0.0
2007,Eldora-New Providence,2019,0.0
2007,Eldora-New Providence,2020,0.0
2007,Eldora-New Providence,2021,0.0
2007,Eldora-New Providence,2022,0.0
2007,Eldora-New Providence,2023,0.0
2007,Eldora-New Providence,2024,0
2088,Emmetsburg,2017,0.0
2088,Emmetsburg,2018,0.0
2088,Emmetsburg,2019,0.0
2088,Emmetsburg,2020,0.0
2088,Emmetsburg,2021,0.0
2088,Emmetsburg,2022,0.0
2088,Emmetsburg,2023,0.0
2088,Emmetsburg,2024,0
