district_code,district_name,fiscal_year,fund,beginning_balance,revenues,expenditures,ending_balance,gf_unassigned,gf_assigned
27,Adel-Desoto-Minburn,2023,Emergency_Disaster,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2023,Enterprise,283134.46,68451.86,247494.0,104092.32,,
27,Adel-Desoto-Minburn,2023,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2023,General,5815698.43,25689974.15,26423933.75,5081738.83,4356960.43,156197.66
27,Adel-Desoto-Minburn,2023,Management,2338186.85,894259.5,464797.25,2767649.1,,
27,Adel-Desoto-Minburn,2023,Nutrition,945262.62,1198049.31,1095237.26,1048074.67,,
27,Adel-Desoto-Minburn,2023,Other Capital Projects,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2023,PERL,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2023,PPEL,223627.04,1062085.97,942723.43,342989.58,,
27,Adel-Desoto-Minburn,2023,Sales Tax,5051728.07,5948281.07,3984263.31,7015745.83,,
27,Adel-Desoto-Minburn,2024,General,5081738.83,27305936.77,27144003.02,5243672.58,4017826.66,111588.55
63,Akron-Westfield,2017,Activity,179261.0,333467.0,329833.0,182896.0,,
63,Akron-Westfield,2017,Debt Service,27801.0,153693.0,153693.0,27801.0,,
63,Akron-Westfield,2017,Emergency_Disaster,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2017,Enterprise,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2017,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2017,General,1823808.0,6394438.0,6670460.0,1547787.0,,
63,Akron-Westfield,2017,Management,245507.0,419242.0,369597.0,295152.0,,
63,Akron-Westfield,2017,Nutrition,106403.0,409065.0,381094.0,134374.0,,
63,Akron-Westfield,2017,Other Capital Projects,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2017,PERL,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2017,PPEL,139192.0,504876.0,486380.0,157687.0,,
63,Akron-Westfield,2017,Sales Tax,865358.0,1015291.0,1655991.0,224658.0,,
63,Akron-Westfield,2018,Activity,182896.0,337323.0,348837.0,171383.0,,
63,Akron-Westfield,2018,Debt Service,27801.0,140427.0,153693.0,14535.0,,
63,Akron-Westfield,2018,Emergency_Disaster,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2018,Enterprise,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2018,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2018,General,1547787.0,6827825.0,7032014.0,1343597.0,,
63,Akron-Westfield,2018,Management,295152.0,313084.0,313916.0,294321.0,,
63,Akron-Westfield,2018,Nutrition,134374.0,397201.0,456384.0,75192.0,,
63,Akron-Westfield,2018,Other Capital Projects,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2018,PERL,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2018,PPEL,157687.0,273305.0,224774.0,206219.0,,
63,Akron-Westfield,2018,Sales Tax,224658.0,517946.0,343165.0,399439.0,,
63,Akron-Westfield,2019,Activity,171382.55,322080.31,306910.09,186552.77,,
63,Akron-Westfield,2019,Debt Service,14535.2,139158.24,153693.44,0.0,,
63,Akron-Westfield,2019,Emergency_Disaster,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2019,Enterprise,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2019,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2019,General,1343596.92,7202176.33,7021318.34,1524454.91,,
63,Akron-Westfield,2019,Management,294320.8,289605.47,282978.52,300947.75,,
63,Akron-Westfield,2019,Nutrition,75191.55,412938.53,427328.55,60801.53,,
63,Akron-Westfield,2019,Other Capital Projects,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2019,PERL,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2019,PPEL,206218.79,322446.34,397995.67,130669.46,,
