jurisdiction,period,period_type,structure_bucket,units,source,flag
Tiffin,2016,annual,5+,40,"Census BPS Place file (mwYYYYa.txt), represented units",0 mo reported; FULLY IMPUTED by BPS
Tiffin,2017,annual,1-unit,120,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2017,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2017,annual,3-4,26,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2017,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2018,annual,1-unit,151,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2018,annual,2-unit,68,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2018,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2018,annual,5+,36,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2019,annual,1-unit,134,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2019,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2019,annual,3-4,71,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2019,annual,5+,6,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2020,annual,1-unit,146,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2020,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2020,annual,3-4,44,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2020,annual,5+,90,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2021,annual,1-unit,163,"Census BPS Place file (mwYYYYa.txt), represented units",0 mo reported; FULLY IMPUTED by BPS
Tiffin,2021,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",0 mo reported; FULLY IMPUTED by BPS
Tiffin,2021,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",0 mo reported; FULLY IMPUTED by BPS
Tiffin,2021,annual,5+,104,"Census BPS Place file (mwYYYYa.txt), represented units",0 mo reported; FULLY IMPUTED by BPS
Tiffin,2022,annual,1-unit,67,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2022,annual,2-unit,60,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2022,annual,3-4,39,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2022,annual,5+,119,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2023,annual,1-unit,116,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2023,annual,2-unit,14,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2023,annual,3-4,11,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2023,annual,5+,31,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2024,annual,1-unit,113,"Census BPS Place file (mwYYYYa.txt), represented units",10 of 12 mo reported; partially imputed
Tiffin,2024,annual,2-unit,2,"Census BPS Place file (mwYYYYa.txt), represented units",10 of 12 mo reported; partially imputed
Tiffin,2024,annual,3-4,8,"Census BPS Place file (mwYYYYa.txt), represented units",10 of 12 mo reported; partially imputed
Tiffin,2024,annual,5+,121,"Census BPS Place file (mwYYYYa.txt), represented units",10 of 12 mo reported; partially imputed
Tiffin,2025,annual,1-unit,111,"Census BPS Place file (mwYYYYa.txt), represented units",4 of 12 mo reported; HEAVILY IMPUTED; treat as preliminary
Tiffin,2025,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",4 of 12 mo reported; HEAVILY IMPUTED; treat as preliminary
Tiffin,2025,annual,3-4,13,"Census BPS Place file (mwYYYYa.txt), represented units",4 of 12 mo reported; HEAVILY IMPUTED; treat as preliminary
Tiffin,2025,annual,5+,82,"Census BPS Place file (mwYYYYa.txt), represented units",4 of 12 mo reported; HEAVILY IMPUTED; treat as preliminary
Johnson Co. (uninc.),2010,annual,1-unit,38,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2010,annual,2-unit,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),0 duplex permit(s) x2 units
Johnson Co. (uninc.),2010,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2010,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
