permit_id,jurisdiction,source_system,issue_date,address_raw,lat,lon,structure_type,net_units,iccsd_flag,school_district,elem_area,jh_area,hs_area,status
BLD-24-32961,Johnson Co. (uninc.),CitizenServe,2024-10-21,150 Pleasant Hill Dr NW,41.849012,-91.695844,SF detached,1,N,College Community School District,,,,issued
BLD-24-32949,Johnson Co. (uninc.),CitizenServe,2024-10-24,2473 140th St NW,41.831675,-91.686262,SF detached,1,N,College Community School District,,,,issued
BLD-24-32970,Johnson Co. (uninc.),CitizenServe,2024-10-24,160 Pleasant Hill DR NW,41.849357,-91.695657,SF detached,1,N,College Community School District,,,,issued
BLD-24-32922,Johnson Co. (uninc.),CitizenServe,2024-10-30,1991 500th ST SW,41.569321,-91.733165,SF detached,1,N,Mid-Prairie Community School District,,,,issued
BLD-24-32957,Johnson Co. (uninc.),CitizenServe,2024-11-04,2627 Newport RD NE,41.742189,-91.481144,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32931,Johnson Co. (uninc.),CitizenServe,2024-11-15,2198 Sugar Bottom Rd NE,41.774316,-91.539420,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-33009,Johnson Co. (uninc.),CitizenServe,2024-11-25,1326 Marak RD NW,41.837776,-91.679094,SF detached,1,N,College Community School District,,,,issued
BLD-24-33065,Johnson Co. (uninc.),CitizenServe,2024-12-03,515 Elkhorn TRL,41.608615,-91.545728,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-33054,Johnson Co. (uninc.),CitizenServe,2024-12-03,260 Howard AVE NW,41.850557,-91.698600,SF detached,1,N,College Community School District,,,,issued
BLD-24-33052,Johnson Co. (uninc.),CitizenServe,2024-12-03,4661 Yellow Rock RD NE,41.699205,-91.476586,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-24-32988,Johnson Co. (uninc.),CitizenServe,2024-12-04,3146 Lincolns LN NW,41.705624,-91.697372,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32926,Johnson Co. (uninc.),CitizenServe,2024-12-05,5488 Highway 22 SE,41.496276,-91.398116,SF detached,1,N,Lone Tree Community School District,,,,issued
BLD-24-33063,Johnson Co. (uninc.),CitizenServe,2024-12-10,3139 Ryans Rd NE,41.824510,-91.624797,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-33057,Johnson Co. (uninc.),CitizenServe,2024-12-10,2847 Highway 1 NE,41.725910,-91.478465,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-24-32711,Johnson Co. (uninc.),CitizenServe,2024-12-16,3149 Oasis RD NE,41.704065,-91.385970,SF detached,1,N,West Branch Community School District,,,,issued
BLD-24-33058,Johnson Co. (uninc.),CitizenServe,2024-12-19,2661 Woodfield LN NE,41.739483,-91.558275,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-24-33060,Johnson Co. (uninc.),CitizenServe,2024-12-23,3586 Highway 1 SW,41.629555,-91.580308,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-22-31457,Johnson Co. (uninc.),CitizenServe,2023-01-05,1898 UTAH AVE NE,41.795004,-91.429999,SF detached,1,N,Solon Community School District,,,,issued
BLD-22-31392,Johnson Co. (uninc.),CitizenServe,2023-01-06,2884 Sydney Ct NE,41.837707,-91.647759,SF detached,1,N,College Community School District,,,,issued
BLD-23-31510,Johnson Co. (uninc.),CitizenServe,2023-01-06,315 CHEROKEE TRL,41.607584,-91.543959,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-22-31460,Johnson Co. (uninc.),CitizenServe,2023-01-19,3765 475th St SW,41.586103,-91.564775,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-22-31499,Johnson Co. (uninc.),CitizenServe,2023-01-25,1442 Deer Woods Dr NE,41.829038,-91.649065,SF detached,1,N,College Community School District,,,,issued
BLD-22-31452,Johnson Co. (uninc.),CitizenServe,2023-02-02,4021 Maier AVE SW,41.641230,-91.600006,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-23-31567,Johnson Co. (uninc.),CitizenServe,2023-02-15,139 APACHE TRL,41.606292,-91.542280,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31565,Johnson Co. (uninc.),CitizenServe,2023-02-15,104 APACHE TRL,41.608707,-91.542269,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31568,Johnson Co. (uninc.),CitizenServe,2023-02-24,131 W Main St,41.722940,-91.791965,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-22-31474,Johnson Co. (uninc.),CitizenServe,2023-03-02,4494 Taft AVE SE LOT E7,41.605672,-91.462420,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31586,Johnson Co. (uninc.),CitizenServe,2023-03-07,3007 Forest Ridge Dr NE,41.837905,-91.635212,SF detached,1,N,College Community School District,,,,issued
BLD-23-31525,Johnson Co. (uninc.),CitizenServe,2023-03-08,781 Linder Rd NE,41.689016,-91.531089,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-23-31583,Johnson Co. (uninc.),CitizenServe,2023-03-13,3129 W Hauer Dr NE,41.731285,-91.621951,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-23-31537,Johnson Co. (uninc.),CitizenServe,2023-03-14,5043 3rd St SW B,41.567648,-91.735334,duplex,2,N,Mid-Prairie Community School District,,,,issued
BLD-23-31571,Johnson Co. (uninc.),CitizenServe,2023-03-16,510 S Center St,41.482389,-91.424103,SF detached,1,N,Lone Tree Community School District,,,,issued
BLD-23-31570,Johnson Co. (uninc.),CitizenServe,2023-03-16,3835 Palisade Pl SW,41.620693,-91.556723,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-23-31608,Johnson Co. (uninc.),CitizenServe,2023-03-16,123 APACHE TRL,41.607243,-91.542334,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31609,Johnson Co. (uninc.),CitizenServe,2023-03-20,526 ELKHORN TRL,41.607770,-91.545129,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31617,Johnson Co. (uninc.),CitizenServe,2023-03-20,110 APACHE TRL,41.608296,-91.542137,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31622,Johnson Co. (uninc.),CitizenServe,2023-03-20,209 BLACKFOOT TRL,41.608137,-91.543340,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31627,Johnson Co. (uninc.),CitizenServe,2023-03-21,34 EROBI LN,41.642091,-91.479749,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31626,Johnson Co. (uninc.),CitizenServe,2023-03-21,16 DATA DR,41.642018,-91.480807,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31629,Johnson Co. (uninc.),CitizenServe,2023-03-22,17 VIDEO CT,41.641113,-91.480526,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31634,Johnson Co. (uninc.),CitizenServe,2023-03-22,606 BEACH VIEW DR,41.628905,-91.550405,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31632,Johnson Co. (uninc.),CitizenServe,2023-03-22,304 Moss Wood LN,41.631011,-91.550698,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31633,Johnson Co. (uninc.),CitizenServe,2023-03-22,334 Moss Wood LN,41.630889,-91.553900,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31630,Johnson Co. (uninc.),CitizenServe,2023-03-22,922 SPRING RIDGE DR,41.626845,-91.549966,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31631,Johnson Co. (uninc.),CitizenServe,2023-03-22,529 MINERAL POINT LN,41.629131,-91.553226,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31603,Johnson Co. (uninc.),CitizenServe,2023-03-23,3012 Forest Ridge Dr NE,41.838615,-91.634587,SF detached,1,N,College Community School District,,,,issued
BLD-23-31620,Johnson Co. (uninc.),CitizenServe,2023-03-30,4003 Seven Sisters Rd NE,41.859965,-91.539893,SF detached,1,N,Solon Community School District,,,,issued
BLD-23-31691,Johnson Co. (uninc.),CitizenServe,2023-04-11,20 REMOTE ST,41.644576,-91.480445,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31690,Johnson Co. (uninc.),CitizenServe,2023-04-11,12 METRIC RD,41.641376,-91.481174,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31689,Johnson Co. (uninc.),CitizenServe,2023-04-11,19 APPOLLO PL,41.643045,-91.480342,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31662,Johnson Co. (uninc.),CitizenServe,2023-04-18,4018 Ivy Ave SW,41.642373,-91.674491,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-23-31722,Johnson Co. (uninc.),CitizenServe,2023-04-20,64 INDIAN TRL,41.608925,-91.544471,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31619,Johnson Co. (uninc.),CitizenServe,2023-04-24,2369 Lakeridge Pl NE,41.760910,-91.587780,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-23-31734,Johnson Co. (uninc.),CitizenServe,2023-05-11,2015 Redtop Ct SW,41.567144,-91.730936,duplex,2,N,Mid-Prairie Community School District,,,,issued
BLD-23-31746,Johnson Co. (uninc.),CitizenServe,2023-05-17,2611 Quincy Rd NE,41.742867,-91.481590,SF detached,1,N,Solon Community School District,,,,issued
BLD-23-31652,Johnson Co. (uninc.),CitizenServe,2023-05-18,2324 Alpine Ave NW,41.765115,-91.822605,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-23-31723,Johnson Co. (uninc.),CitizenServe,2023-05-19,2379 Mehaffey Bridge Rd NE,41.761447,-91.590579,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-23-31790,Johnson Co. (uninc.),CitizenServe,2023-05-23,2660 Peryton Ln NE,41.740057,-91.491743,SF detached,1,N,Solon Community School District,,,,issued
BLD-23-31784,Johnson Co. (uninc.),CitizenServe,2023-06-02,2765 Neuzil Rd SW,41.660920,-91.660904,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-23-31755,Johnson Co. (uninc.),CitizenServe,2023-06-07,1675 500th St SW,41.569370,-91.764335,SF detached,1,N,Mid-Prairie Community School District,,,,issued
BLD-23-31729,Johnson Co. (uninc.),CitizenServe,2023-06-07,2511 Highway 1 SW,41.596178,-91.684326,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-23-31724,Johnson Co. (uninc.),CitizenServe,2023-06-09,1553 IWV RD SW,41.657888,-91.780215,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-23-31838,Johnson Co. (uninc.),CitizenServe,2023-06-13,3681 Baxter Ave SW,41.667369,-91.814621,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-23-31885,Johnson Co. (uninc.),CitizenServe,2023-06-14,519 ELKHORN TRL,41.608327,-91.545734,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31889,Johnson Co. (uninc.),CitizenServe,2023-06-15,232 BLACKFOOT TRL,41.606605,-91.542630,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31871,Johnson Co. (uninc.),CitizenServe,2023-06-21,3006 Forest Ridge Dr NE,41.838431,-91.635901,SF detached,1,N,College Community School District,,,,issued
BLD-23-31918,Johnson Co. (uninc.),CitizenServe,2023-06-26,4494 Taft AVE SE LOT C33,41.606603,-91.461336,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31917,Johnson Co. (uninc.),CitizenServe,2023-06-26,4494 Taft AVE SE LOT E11,41.605671,-91.462002,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31916,Johnson Co. (uninc.),CitizenServe,2023-06-26,4494 Taft AVE SE LOT B22,41.606538,-91.460858,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31786,Johnson Co. (uninc.),CitizenServe,2023-06-26,1581 Courtney Ln NW,41.819468,-91.673840,SF detached,1,N,College Community School District,,,,issued
BLD-23-31928,Johnson Co. (uninc.),CitizenServe,2023-06-28,101 APACHE TRL,41.608760,-91.542731,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31934,Johnson Co. (uninc.),CitizenServe,2023-07-05,515 ELKHORN TRL,41.608615,-91.545728,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-31890,Johnson Co. (uninc.),CitizenServe,2023-07-10,413 Marner Dr,41.493279,-91.432599,SF detached,1,N,Lone Tree Community School District,,,,issued
BLD-23-31933,Johnson Co. (uninc.),CitizenServe,2023-07-17,4928 Walnut Rd SW,41.574409,-91.733591,SF detached,1,N,Mid-Prairie Community School District,,,,issued
BLD-23-31936,Johnson Co. (uninc.),CitizenServe,2023-07-18,2015 REDTOP CT SW,41.567144,-91.730936,SF detached,1,N,Mid-Prairie Community School District,,,,issued
BLD-23-31937,Johnson Co. (uninc.),CitizenServe,2023-07-27,5335 Kansas Ave SW,41.544341,-91.637403,SF detached,1,N,Mid-Prairie Community School District,,,,issued
BLD-23-31957,Johnson Co. (uninc.),CitizenServe,2023-08-01,4917 Cosgrove Rd SW,41.576255,-91.733035,SF detached,1,N,Mid-Prairie Community School District,,,,issued
BLD-23-31990,Johnson Co. (uninc.),CitizenServe,2023-08-17,2605 Quincy Rd NE,41.743431,-91.481951,SF detached,1,N,Solon Community School District,,,,issued
BLD-23-32049,Johnson Co. (uninc.),CitizenServe,2023-08-21,1684 Amana Rd NW,41.802970,-91.763744,SF detached,1,N,College Community School District,,,,issued
